"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C23","C-0805","87.5mm","-7.6mm","87.5mm","-7.6mm","87.5mm","-6.725mm","T","270.00","10nF"
"C18","C0603","58.5mm","-14.6mm","58.5mm","-14.6mm","58.5mm","-13.75mm","T","270.00","2.2uF"
"C16","C0603","64mm","-21.5mm","64mm","-21.5mm","64.85mm","-21.5mm","T","180.00","2.2uF"
"C15","C0603","61.7mm","-13.5mm","61.7mm","-13.5mm","62.55mm","-13.5mm","T","180.00","2.2uF"
"R39_CELL12","0805","33.5mm","24.7mm","33.5mm","24.7mm","33.5mm","23.825mm","T","90.00","0R"
"R39_CELL11","0805","33.5mm","20.1mm","33.5mm","20.1mm","33.5mm","19.225mm","T","90.00","0R"
"R39_CELL10","0805","33.5mm","15.5mm","33.5mm","15.5mm","33.5mm","14.625mm","T","90.00","0R"
"R39_CELL9","0805","33.5mm","10.9mm","33.5mm","10.9mm","33.5mm","10.025mm","T","90.00","0R"
"R39_CELL8","0805","33.5mm","6.3mm","33.5mm","6.3mm","33.5mm","5.425mm","T","90.00","0R"
"R39_CELL7","0805","33.5mm","1.7mm","33.5mm","1.7mm","33.5mm","0.825mm","T","90.00","0R"
"R39_CELL6","0805","33.5mm","-2.9mm","33.5mm","-2.9mm","33.5mm","-3.775mm","T","90.00","0R"
"R39_CELL5","0805","33.5mm","-7.5mm","33.5mm","-7.5mm","33.5mm","-8.375mm","T","90.00","0R"
"R39_CELL4","0805","33.5mm","-12.1mm","33.5mm","-12.1mm","33.5mm","-12.975mm","T","90.00","0R"
"R39_CELL3","0805","33.5mm","-16.7mm","33.5mm","-16.7mm","33.5mm","-17.575mm","T","90.00","0R"
"R39_CELL2","0805","33.5mm","-21.3mm","33.5mm","-21.3mm","33.5mm","-22.175mm","T","90.00","0R"
"R39_CELL1","0805","33.5mm","-25.9mm","33.5mm","-25.9mm","33.5mm","-26.775mm","T","90.00","0R"
"D7","D2-PAK","127.2mm","-9.3mm","128.5mm","-9.3mm","121.9mm","-6.76mm","T","270.00","STPS41H100CG"
"X1","XTAL150SMD_125X196","70.4mm","11.8mm","70.4mm","11.8mm","69.0566mm","10.4566mm","T","45.00","8MHz"
"R11","FCSL110","100.0001mm","9.0001mm","100mm","9mm","100mm","7.3mm","T","180.00","1mOhm"
"R9","0402","71.7mm","0.5mm","71.7mm","0.5mm","71.7mm","0mm","T","90.00","470"
